Namespace,Type,CyclomaticComplexity,DepthOfInheritance,ClassCoupling,LinesOfCode,NumberOfMethods,Toxicity
System.Web.Http.Controllers,ApiControllerActionInvoker,0,0,0,0,0,0
System.Web.Http.Controllers,ApiControllerActionSelector,0,0,0,0,0,0
System.Web.Http.Controllers,ApiControllerActionSelector.CandidateActionWithParams,0,0,0,0,0,0
System.Web.Http.Controllers,ApiControllerActionSelector.StandardActionSelectionCache,0,0,0,0,0,0
System.Web.Http.Description,ApiDescription,0,0,0,0,0,0
ROOT_PROJECT_NAMESPACE.Areas.HelpPage,ApiDescriptionExtensions,0,0,0,0,0,0
System.Web.Http.Description,ApiExplorer.ApiDescriptionComparer,0,0,0,0,0,0
System.Web.Http.Description,ApiExplorerSettingsAttribute,0,0,0,0,0,0
System.Web.Http.Description,ApiParameterDescription,0,0,0,0,0,0
System.Web.Http.Description,ApiParameterSource,0,0,0,0,0,0
System.Web.WebPages.Deployment,AppDomainHelper,0,0,0,0,0,0
System.Web.WebPages.Deployment,AppDomainHelper.RemoteAssemblyLoader,0,0,0,0,0,0
System.Web.WebPages,ApplicationPart,0,0,0,0,0,0
System.Web.WebPages.ApplicationParts,ApplicationPartRegistry,0,0,0,0,0,0
System.Web.WebPages.Scope,ApplicationScopeStorageDictionary,0,0,0,0,0,0
Microsoft.Web.Mvc,AreaHelpers,0,0,0,0,0,0
System.Web.Mvc,AreaReference,0,0,0,0,0,0
System.Web.Mvc,AreaRegistration,0,0,0,0,0,0
System.Web.Mvc,AreaRegistrationContext,0,0,0,0,0,0
Microsoft.Web.Mvc.ModelBinding,ArrayModelBinder<TElement>,0,0,0,0,0,0
Microsoft.Web.Mvc.ModelBinding,ArrayModelBinderProvider,0,0,0,0,0,0
System.Web.WebPages.Scope,AspNetRequestScopeStorageProvider,0,0,0,0,0,0
System.Web.WebPages.Razor,AssemblyBuilderWrapper,0,0,0,0,0,0
System.Web.WebPages.Deployment,AssemblyUtils,0,0,0,0,0,0
System.Web.Mvc,AssociatedMetadataProvider,0,0,0,0,0,0
System.Web.Http.Metadata.Providers,AssociatedMetadataProvider<TModelMetadata>.PropertyInformation,0,0,0,0,0,0
System.Web.Http.Metadata.Providers,AssociatedMetadataProvider<TModelMetadata>.TypeInformation,0,0,0,0,0,0
System.Web.Http.Validation.Providers,AssociatedValidatorProvider,0,0,0,0,0,0
System.Web.Mvc.Async,AsyncActionDescriptor,0,0,0,0,0,0
System.Web.Mvc.Async,AsyncActionMethodSelector,0,0,0,0,0,0
System.Web.Mvc,AsyncController,0,0,0,0,0,0
System.Web.Mvc.Async,AsyncControllerActionInvoker.ActionInvocation,0,0,0,0,0,0
System.Web.Mvc.Async,AsyncManager,0,0,0,0,0,0
System.Web.Http.SelfHost.ServiceModel.Channels,AsyncResult.AsyncCompletion,0,0,0,0,0,0
System.Web.Mvc.Async,AsyncResultWrapper,0,0,0,0,0,0
System.Web.Mvc.Async,AsyncResultWrapper.CachedDelegates<TState>,0,0,0,0,0,0
System.Web.Mvc.Async,"AsyncResultWrapper.WrappedAsyncResult<TResult, TState>",0,0,0,0,0,0
System.Web.Mvc.Async,AsyncResultWrapper.WrappedAsyncResult<TResult>,0,0,0,0,0,0
System.Web.Mvc.Async,AsyncResultWrapper.WrappedAsyncResultBase<TResult>,0,0,0,0,0,0
System.Web.Mvc.Async,AsyncResultWrapper.WrappedAsyncVoid<TState>,0,0,0,0,0,0
System.Web.Mvc.Async,AsyncVoid,0,0,0,0,0,0
Microsoft.Web.Mvc.Resources,AtomEntryActionResult,0,0,0,0,0,0
Microsoft.Web.Mvc.Resources,AtomFeedActionResult,0,0,0,0,0,0
Microsoft.Web.Mvc.Resources,AtomServiceDocumentActionResult,0,0,0,0,0,0
System.Web.Razor.Generator,AttributeBlockCodeGenerator,0,0,0,0,0,0
System.ComponentModel,AttributeList,0,0,0,0,0,0
System.Web.WebPages,AttributeValue,0,0,0,0,0,0
System.Web.Mvc.Filters,AuthenticationChallengeContext,0,0,0,0,0,0
Microsoft.Web.WebPages.OAuth,AuthenticationClientData,0,0,0,0,0,0
System.Web.Mvc.Filters,AuthenticationContext,0,0,0,0,0,0
System.Web.Http.Controllers,AuthenticationFilterResult,0,0,0,0,0,0
System.Web.Http.Tracing.Tracers,AuthenticationFilterTracer,0,0,0,0,0,0
System.Web.Mvc,AuthorizationContext,0,0,0,0,0,0
System.Web.Http.Filters,AuthorizationFilterAttribute,0,0,0,0,0,0
System.Web.Http.Controllers,AuthorizationFilterResult,0,0,0,0,0,0
System.Web.Http.Tracing.Tracers,AuthorizationFilterTracer,0,0,0,0,0,0
System.Web.Razor.Parser.SyntaxTree,AutoCompleteEditHandler,0,0,0,0,0,0
System.Web.Razor.Editor,BackgroundParser,0,0,0,0,0,0
System.Web.Razor.Editor,BackgroundParser.MainThreadState,0,0,0,0,0,0
System.Web.Razor.Editor,BackgroundParser.ThreadStateBase,0,0,0,0,0,0
System.Web.Razor.Editor,BackgroundParser.WorkParcel,0,0,0,0,0,0
System.Web.Http.Results,BadRequestErrorMessageResult,0,0,0,0,0,0
System.Web.Http.Results,BadRequestResult,0,0,0,0,0,0
System.Web.Razor.Parser,BalancingModes,0,0,0,0,0,0
System.Web.Razor.Generator,BaseCodeWriter,0,0,0,0,0,0
System.Web.Http.Batch,BatchExecutionOrder,0,0,0,0,0,0
System.Web.Http.Batch,BatchHttpRequestContext,0,0,0,0,0,0
System.Web.Http.Batch,BatchHttpRequestMessageExtensions,0,0,0,0,0,0
System.Web.Mvc.Async,BeginInvokeDelegate,0,0,0,0,0,0
System.Web.Mvc.Async,BeginInvokeDelegate<TState>,0,0,0,0,0,0
System.Web.Helpers.AntiXsrf,BinaryBlob,0,0,0,0,0,0
Microsoft.Web.Mvc.ModelBinding,BinaryDataModelBinderProvider,0,0,0,0,0,0
Microsoft.Web.Mvc.ModelBinding,BinaryDataModelBinderProvider.ByteArrayExtensibleModelBinder,0,0,0,0,0,0
Microsoft.Web.Mvc.ModelBinding,BinaryDataModelBinderProvider.LinqBinaryExtensibleModelBinder,0,0,0,0,0,0
Microsoft.Web.Mvc.ExpressionUtil,BinaryExpressionFingerprint,0,0,0,0,0,0
System.Web.Mvc,BindAttribute,0,0,0,0,0,0
Microsoft.Web.Mvc.ModelBinding,BindingBehavior,0,0,0,0,0,0
Microsoft.Web.Mvc.ModelBinding,BindingBehaviorAttribute,0,0,0,0,0,0
Microsoft.Web.Mvc.ModelBinding,BindNeverAttribute,0,0,0,0,0,0
Microsoft.Web.Mvc.ModelBinding,BindRequiredAttribute,0,0,0,0,0,0
System.Web.Razor.Parser.SyntaxTree,BlockBuilder,0,0,0,0,0,0
System.Web.Razor.Generator,BlockCodeGenerator,0,0,0,0,0,0
System.Web.Razor.Generator,BlockCodeGenerator.NullBlockCodeGenerator,0,0,0,0,0,0
System.Web.Razor.Parser.SyntaxTree,BlockType,0,0,0,0,0,0
System.Web.Http.Routing.Constraints,BoolRouteConstraint,0,0,0,0,0,0
System.Web.Http.Routing,BoundRouteTemplate,0,0,0,0,0,0
System.Web.WebPages,BrowserHelpers,0,0,0,0,0,0
System.Web.WebPages,BrowserHelpers.UserAgentWorkerRequest,0,0,0,0,0,0
System.Web.WebPages,BrowserOverride,0,0,0,0,0,0
System.Web.WebPages,BrowserOverrideStore,0,0,0,0,0,0
System.Web.WebPages,BrowserOverrideStores,0,0,0,0,0,0
System.Net.Http.Formatting,BufferedMediaTypeFormatter,0,0,0,0,0,0
System.Web.Http.Tracing.Tracers,BufferedMediaTypeFormatterTracer,0,0,0,0,0,0
System.Web.Razor.Text,BufferingTextReader.BacktrackContext,0,0,0,0,0,0
System.Web.Mvc,BuildManagerCompiledView,0,0,0,0,0,0
System.Web.WebPages,BuildManagerExceptionUtil,0,0,0,0,0,0
System.Web.Mvc,BuildManagerViewEngine,0,0,0,0,0,0
System.Web.Mvc,BuildManagerViewEngine.DefaultViewPageActivator,0,0,0,0,0,0
System.Web.WebPages,BuildManagerWrapper.BuildManagerResult,0,0,0,0,0,0
Microsoft.Web.Mvc,ButtonBuilder,0,0,0,0,0,0
Microsoft.Web.Mvc,ButtonsAndLinkExtensions,0,0,0,0,0,0
System.Web.Mvc,ByteArrayModelBinder,0,0,0,0,0,0
System.Web.Mvc,CachedAssociatedMetadataProvider<TModelMetadata>,0,0,0,0,0,0
Microsoft.Web.Mvc,CachedExpressionCompiler,0,0,0,0,0,0
System.Web.Razor.Parser,CallbackVisitor,0,0,0,0,0,0
System.Web.Mvc,CancellationTokenModelBinder,0,0,0,0,0,0
System.Web.Http.ModelBinding,CancellationTokenParameterBinding,0,0,0,0,0,0
System.Web.Http.Routing,CandidateAction,0,0,0,0,0,0
Microsoft.AspNet.Facebook.Models,ChangeEntry,0,0,0,0,0,0
Microsoft.AspNet.Facebook.Models,ChangeNotification,0,0,0,0,0,0
System.Web.Http.SelfHost.ServiceModel.Channels,ChannelAcceptor<TChannel>,0,0,0,0,0,0
System.Web.Http.SelfHost.ServiceModel.Channels,ChannelBindingUtility,0,0,0,0,0,0
System.Web.Helpers,Chart.ChartAxisData,0,0,0,0,0,0
System.Web.Helpers,Chart.DataSourceData,0,0,0,0,0,0
System.Web.Helpers,Chart.LegendData,0,0,0,0,0,0
System.Web.Helpers,Chart.SeriesData,0,0,0,0,0,0
System.Web.Helpers,Chart.TitleData,0,0,0,0,0,0
System.Web.Helpers,ChartTheme,0,0,0,0,0,0
System.Web.Razor.Utils,CharUtils,0,0,0,0,0,0
System.Web.Mvc.Html,ChildActionExtensions.ChildActionMvcHandler,0,0,0,0,0,0
System.Web.Mvc,ChildActionOnlyAttribute,0,0,0,0,0,0
System.Web.Mvc,ChildActionValueProvider,0,0,0,0,0,0
System.Web.Mvc,ChildActionValueProviderFactory,0,0,0,0,0,0
System.Web.Helpers.Claims,Claim,0,0,0,0,0,0
System.Web.Helpers.Claims,Claim.ClaimFactory<TClaim>,0,0,0,0,0,0
System.Web.Helpers.Claims,ClaimsIdentity,0,0,0,0,0,0
System.Web.Helpers.Claims,"ClaimsIdentity.ClaimsIdentityImpl<TClaimsIdentity, TClaim>",0,0,0,0,0,0
System.Web.Helpers.Claims,ClaimsIdentityConverter,0,0,0,0,0,0
System.Web.Helpers.AntiXsrf,ClaimUidExtractor,0,0,0,0,0,0
System.Web.Mvc,ClientDataTypeModelValidatorProvider,0,0,0,0,0,0
System.Web.Mvc,ClientDataTypeModelValidatorProvider.ClientModelValidator,0,0,0,0,0,0
System.Web.Mvc,ClientDataTypeModelValidatorProvider.DateModelValidator,0,0,0,0,0,0
System.Web.Mvc,ClientDataTypeModelValidatorProvider.NumericModelValidator,0,0,0,0,0,0
System.Net.Http,CloneableExtensions,0,0,0,0,0,0
System.Web.Razor.Generator,CodeGenerationCompleteEventArgs,0,0,0,0,0,0
System.Web.Razor.Generator,CodeGeneratorContext.StatementBuffer,0,0,0,0,0,0
System.Web.Razor.Generator,CodeGeneratorPaddingHelper,0,0,0,0,0,0
System.Web.Razor.Generator,CodeWriter.WriterMode,0,0,0,0,0,0
System.Web.Razor.Generator,CodeWriterExtensions,0,0,0,0,0,0
Microsoft.Web.Mvc.ModelBinding,CollectionModelBinderProvider,0,0,0,0,0,0
ROOT_PROJECT_NAMESPACE.Areas.HelpPage.ModelDescriptions,CollectionModelDescription,0,0,0,0,0,0
System.Web.Mvc,CompareAttribute,0,0,0,0,0,0
System.Web.WebPages,CompareValidator,0,0,0,0,0,0
System.Web.WebPages.Razor,CompilingPathEventArgs,0,0,0,0,0,0
System.Web.Http.SelfHost.ServiceModel.Channels,CompletedAsyncResult,0,0,0,0,0,0
System.Web.Http.SelfHost.ServiceModel.Channels,CompletedAsyncResult<T>,0,0,0,0,0,0
Microsoft.Web.Mvc.ModelBinding,ComplexModelDto,0,0,0,0,0,0
Microsoft.Web.Mvc.ModelBinding,ComplexModelDtoModelBinder,0,0,0,0,0,0
Microsoft.Web.Mvc.ModelBinding,ComplexModelDtoModelBinderProvider,0,0,0,0,0,0
Microsoft.Web.Mvc.ModelBinding,ComplexModelDtoResult,0,0,0,0,0,0
ROOT_PROJECT_NAMESPACE.Areas.HelpPage.ModelDescriptions,ComplexTypeModelDescription,0,0,0,0,0,0
System.Web.Http.ExceptionHandling,CompositeExceptionLogger,0,0,0,0,0,0
System.Web.Http.ModelBinding.Binders,CompositeModelBinder,0,0,0,0,0,0
System.Web.Http.ModelBinding.Binders,CompositeModelBinderProvider,0,0,0,0,0,0
System.Web.Http.ValueProviders.Providers,CompositeValueProvider,0,0,0,0,0,0
System.Web.Http.ValueProviders.Providers,CompositeValueProviderFactory,0,0,0,0,0,0
System.Web.Http.Routing.Constraints,CompoundRouteConstraint,0,0,0,0,0,0
System.Web.Razor.Parser,ConditionalAttributeCollapser,0,0,0,0,0,0
Microsoft.Web.Mvc.ExpressionUtil,ConditionalExpressionFingerprint,0,0,0,0,0,0
System.Web.Http.Filters,ConfigurationFilterProvider,0,0,0,0,0,0
WebMatrix.Data,ConfigurationManagerWrapper,0,0,0,0,0,0
WebMatrix.WebData,ConfigUtil,0,0,0,0,0,0
System.Web.Http.Results,ConflictResult,0,0,0,0,0,0
WebMatrix.Data,ConnectionConfiguration,0,0,0,0,0,0
WebMatrix.Data,ConnectionEventArgs,0,0,0,0,0,0
Microsoft.Web.Mvc.ExpressionUtil,ConstantExpressionFingerprint,0,0,0,0,0,0
System.Web.Mvc.Routing,ConstraintValidation,0,0,0,0,0,0
System.Net.Http.Formatting,ContentNegotiationResult,0,0,0,0,0,0
System.Web.Http.Tracing.Tracers,ContentNegotiatorTracer,0,0,0,0,0,0
System.Web.Mvc,ContentResult,0,0,0,0,0,0
System.Web.Mvc,Controller.ExecuteCoreState,0,0,0,0,0,0
System.Web.Mvc,ControllerBase,0,0,0,0,0,0
System.Web.Mvc,ControllerBuilder,0,0,0,0,0,0
System.Web.Mvc,ControllerContext,0,0,0,0,0,0
System.Web.Mvc,ControllerContext.EmptyHttpContext,0,0,0,0,0,0
System.Web.Mvc,ControllerDescriptor,0,0,0,0,0,0
System.Web.Mvc,ControllerDescriptorCache,0,0,0,0,0,0
System.Web.Mvc,ControllerDescriptorExtensions,0,0,0,0,0,0
Microsoft.Web.Mvc,ControllerExtensions,0,0,0,0,0,0
System.Web.Mvc,ControllerInstanceFilterProvider,0,0,0,0,0,0
System.Web.Http.Controllers,ControllerServices,0,0,0,0,0,0
System.Web.Mvc,ControllerTypeCache,0,0,0,0,0,0
System.Web.Helpers,ConversionUtil,0,0,0,0,0,0
System.Web.WebPages,CookieBrowserOverrideStore,0,0,0,0,0,0
System.Net.Http.Headers,CookieState,0,0,0,0,0,0
Microsoft.Web.Mvc,CookieValueProviderFactory,0,0,0,0,0,0
System.Web.Mvc,"CopyOnWriteDictionary<TKey, TValue>",0,0,0,0,0,0
System.Web.Cors,CorsConstants,0,0,0,0,0,0
System.Web.Cors,CorsEngine,0,0,0,0,0,0
System.Web.Http.Cors.Tracing,CorsEngineTracer,0,0,0,0,0,0
System.Web.Http,CorsHttpConfigurationExtensions,0,0,0,0,0,0
System.Web.Http.Cors,CorsHttpRequestMessageExtensions,0,0,0,0,0,0
System.Web.Http.Cors,CorsHttpResponseMessageExtensions,0,0,0,0,0,0
System.Web.Http.Cors,CorsMessageHandler,0,0,0,0,0,0
System.Web.Cors,CorsPolicy,0,0,0,0,0,0
System.Web.Http.Cors.Tracing,CorsPolicyProviderFactoryTracer,0,0,0,0,0,0
System.Web.Http.Cors.Tracing,CorsPolicyProviderTracer,0,0,0,0,0,0
System.Web.Cors,CorsRequestContext,0,0,0,0,0,0
System.Web.Cors,CorsResult,0,0,0,0,0,0
System.Web.Http.Results,CreatedAtRouteNegotiatedContentResult<T>,0,0,0,0,0,0
System.Web.Http.Results,CreatedAtRouteNegotiatedContentResult<T>.ApiControllerDependencyProvider,0,0,0,0,0,0
System.Web.Http.Results,CreatedAtRouteNegotiatedContentResult<T>.DirectDependencyProvider,0,0,0,0,0,0
System.Web.Http.Results,CreatedAtRouteNegotiatedContentResult<T>.IDependencyProvider,0,0,0,0,0,0
System.Web.Http.Results,CreatedNegotiatedContentResult<T>,0,0,0,0,0,0
System.Web.Helpers,Crypto,0,0,0,0,0,0
System.Web.Helpers,CryptoUtil,0,0,0,0,0,0
System.Web.Razor.Parser,CSharpCodeParser.Block,0,0,0,0,0,0
System.Web.Razor.Generator,CSharpCodeWriter,0,0,0,0,0,0
System.Web.Razor.Tokenizer,CSharpHelpers,0,0,0,0,0,0
System.Web.Razor.Tokenizer.Symbols,CSharpKeyword,0,0,0,0,0,0
System.Web.Razor.Tokenizer,CSharpKeywordDetector,0,0,0,0,0,0
System.Web.Razor.Parser,CSharpLanguageCharacteristics,0,0,0,0,0,0
System.Web.Razor.Generator,CSharpRazorCodeGenerator,0,0,0,0,0,0
System.Web.Razor,CSharpRazorCodeLanguage,0,0,0,0,0,0
System.Web.Razor.Tokenizer.Symbols,CSharpSymbol,0,0,0,0,0,0
System.Web.Razor.Tokenizer.Symbols,CSharpSymbolType,0,0,0,0,0,0
Microsoft.Web.Mvc,CssExtensions,0,0,0,0,0,0
System.Web.WebPages,CultureUtil,0,0,0,0,0,0
System.Web.Http.ModelBinding,CustomModelBinderAttribute,0,0,0,0,0,0
System.Web.Mvc,DataAnnotationsModelMetadata,0,0,0,0,0,0
System.Web.Http.Validation.Providers,DataAnnotationsModelValidationFactory,0,0,0,0,0,0
System.Web.Http.Validation.Validators,DataAnnotationsModelValidator,0,0,0,0,0,0
System.Web.Mvc,DataAnnotationsModelValidator<TAttribute>,0,0,0,0,0,0
System.Web.Http.Validation.Providers,DataAnnotationsValidatableObjectAdapterFactory,0,0,0,0,0,0
WebMatrix.WebData,DatabaseConnectionInfo,0,0,0,0,0,0
WebMatrix.WebData,DatabaseConnectionInfo.ConnectionType,0,0,0,0,0,0
WebMatrix.WebData,DatabaseWrapper,0,0,0,0,0,0
Microsoft.Web.Mvc.Resources,DataContractJsonActionResult,0,0,0,0,0,0
Microsoft.Web.Mvc.Resources,DataContractXmlActionResult,0,0,0,0,0,0
System.Web.Mvc,DataErrorInfoModelValidatorProvider,0,0,0,0,0,0
System.Web.Mvc,DataErrorInfoModelValidatorProvider.DataErrorInfoClassModelValidator,0,0,0,0,0,0
System.Web.Mvc,DataErrorInfoModelValidatorProvider.DataErrorInfoPropertyModelValidator,0,0,0,0,0,0
System.Web.Http.Validation.Providers,DataMemberModelValidatorProvider,0,0,0,0,0,0
System.Web.Mvc,DataTypeAttributeAdapter,0,0,0,0,0,0
System.Web.Mvc,DataTypeUtil,0,0,0,0,0,0
System.Web.WebPages,DataTypeValidator,0,0,0,0,0,0
System.Web.WebPages,DataTypeValidator.SupportedValidationDataType,0,0,0,0,0,0
System.Web.Http.Routing.Constraints,DateTimeRouteConstraint,0,0,0,0,0,0
WebMatrix.Data,DbProviderFactoryWrapper,0,0,0,0,0,0
System.Web.Http.Routing.Constraints,DecimalRouteConstraint,0,0,0,0,0,0
System.Web.Http.Services,Decorator,0,0,0,0,0,0
System.Web.Http.ModelBinding,DefaultActionValueBinder,0,0,0,0,0,0
System.Web.Http.Dispatcher,DefaultAssembliesResolver,0,0,0,0,0,0
System.Web.Http.Validation,DefaultBodyModelValidator.ElementScope,0,0,0,0,0,0
System.Web.Http.Validation,DefaultBodyModelValidator.IKeyBuilder,0,0,0,0,0,0
System.Web.Http.Validation,DefaultBodyModelValidator.PropertyScope,0,0,0,0,0,0
System.Web.Http.Validation,DefaultBodyModelValidator.ValidationContext,0,0,0,0,0,0
System.Web.Mvc,DefaultControllerFactory.DefaultControllerActivator,0,0,0,0,0,0
System.Web.WebPages,DefaultDisplayMode,0,0,0,0,0,0
System.Web.Http.ExceptionHandling,DefaultExceptionHandler,0,0,0,0,0,0
Microsoft.Web.Mvc.ExpressionUtil,DefaultExpressionFingerprint,0,0,0,0,0,0
Microsoft.AspNet.Facebook.Providers,DefaultFacebookClientProvider,0,0,0,0,0,0
Microsoft.AspNet.Facebook.Providers,DefaultFacebookPermissionService,0,0,0,0,0,0
Microsoft.Web.Mvc.Resources,DefaultFormatHelper,0,0,0,0,0,0
Microsoft.Web.Mvc.Resources,DefaultFormatHelper.AcceptHeaderElementComparer,0,0,0,0,0,0
Microsoft.Web.Mvc.Resources,DefaultFormatManager,0,0,0,0,0,0
System.Web.Http.Dispatcher,DefaultHttpControllerActivator,0,0,0,0,0,0
System.Web.Http.Dispatcher,DefaultHttpControllerTypeResolver,0,0,0,0,0,0
System.Web.Http.Tracing.Tracers,DefaultHttpControllerTypeResolverTracer,0,0,0,0,0,0
System.Web.Mvc,DefaultModelBinder.CollectionHelpers,0,0,0,0,0,0
System.Web.Mvc,DefaultViewLocationCache,0,0,0,0,0,0
System.Net.Http.Formatting,DelegatingEnumerable<T>,0,0,0,0,0,0
System.Web.Mvc,DependencyResolver,0,0,0,0,0,0
System.Web.Mvc,DependencyResolver.CacheDependencyResolver,0,0,0,0,0,0
System.Web.Mvc,DependencyResolver.DefaultDependencyResolver,0,0,0,0,0,0
System.Web.Mvc,DependencyResolver.DelegateBasedDependencyResolver,0,0,0,0,0,0
System.Web.Mvc,DependencyResolverExtensions,0,0,0,0,0,0
System.Web.Mvc,DescriptorUtil,0,0,0,0,0,0
Microsoft.Web.Mvc,DeserializeAttribute,0,0,0,0,0,0
Microsoft.Web.Mvc,DeserializeAttribute.DeserializingModelBinder,0,0,0,0,0,0
System.Web.WebPages.ApplicationParts,DictionaryBasedVirtualPathFactory,0,0,0,0,0,0
System.Web.Mvc,DictionaryHelpers,0,0,0,0,0,0
Microsoft.Web.Mvc.ModelBinding,"DictionaryModelBinder<TKey, TValue>",0,0,0,0,0,0
Microsoft.Web.Mvc.ModelBinding,DictionaryModelBinderProvider,0,0,0,0,0,0
ROOT_PROJECT_NAMESPACE.Areas.HelpPage.ModelDescriptions,DictionaryModelDescription,0,0,0,0,0,0
System.Web.Mvc,DictionaryValueProvider<TValue>,0,0,0,0,0,0
System.Web.Http.Cors,DisableCorsAttribute,0,0,0,0,0,0
System.Web.Mvc.Html,DisplayExtensions,0,0,0,0,0,0
System.Web.WebPages,DisplayInfo,0,0,0,0,0,0
System.Web.WebPages,DisplayModeProvider,0,0,0,0,0,0
System.Web.Mvc.Html,DisplayNameExtensions,0,0,0,0,0,0
System.Web.Mvc.Html,DisplayTextExtensions,0,0,0,0,0,0
System.Web.Razor.Utils,DisposableAction,0,0,0,0,0,0
System.Web.Razor,DocumentParseCompleteEventArgs,0,0,0,0,0,0
System.Web.Http.Routing.Constraints,DoubleRouteConstraint,0,0,0,0,0,0
Microsoft.Internal.Web.Utils,DynamicHelper,0,0,0,0,0,0
System.Web.WebPages,DynamicHttpApplicationState,0,0,0,0,0,0
System.Web.Helpers,DynamicJavaScriptConverter,0,0,0,0,0,0
System.Web.Helpers,DynamicJsonArray,0,0,0,0,0,0
System.Web.Helpers,DynamicJsonObject,0,0,0,0,0,0
WebMatrix.Data,DynamicRecord.DynamicPropertyDescriptor,0,0,0,0,0,0
Microsoft.Web.Mvc,DynamicReflectionObject,0,0,0,0,0,0
Microsoft.Web.Mvc,DynamicViewDataDictionary,0,0,0,0,0,0
System.Web.Mvc.Html,EditorExtensions,0,0,0,0,0,0
System.Web.Razor.Editor,EditorHints,0,0,0,0,0,0
System.Web.Razor.Editor,EditResult,0,0,0,0,0,0
